group	xintercept
1	-3.94162332377098
2	-3.70962332377098
3	-3.34862332377098
4	-3.13662332377098
5	-2.89162332377098
6	-2.65962332377098
7	-2.63362332377098
8	-2.62162332377098
9	-2.56462332377098
10	-2.48362332377098
11	-2.43662332377098
12	-2.39662332377098
13	-2.08962332377098
14	-1.75962332377098
15	-1.68362332377098
16	-1.65562332377098
17	-1.55862332377098
18	-1.32962332377098
19	-1.18762332377098
20	-1.10062332377098
21	-0.998623323770975
22	-0.942623323770975
23	-0.902623323770975
24	-0.801623323770975
25	-0.629623323770975
26	-0.421623323770976
27	-0.139623323770975
28	0.0753766762290247
29	0.329376676229025
30	0.542376676229025
31	0.642376676229025
32	0.808376676229025
33	0.961376676229025
34	1.05337667622902
35	1.20337667622902
36	1.37237667622902
37	1.64337667622902
38	1.97837667622902
39	2.12237667622902
40	2.18337667622902
41	2.23937667622902
42	2.68037667622902
43	3.09437667622903
44	3.16037667622902
45	3.26637667622903
46	-3.08479434925913
47	-2.96179434925913
48	-2.74979434925913
49	-2.55979434925913
50	-2.34179434925913
51	-2.09779434925913
52	-1.96679434925913
53	-1.90379434925913
54	-1.87379434925913
55	-1.84079434925913
56	-1.80379434925913
57	-1.75179434925913
58	-1.68879434925913
59	-1.53079434925913
60	-1.35479434925913
61	-1.17279434925913
62	-1.04279434925913
63	-0.99079434925913
64	-0.933794349259131
65	-0.918794349259131
66	-0.786794349259131
67	-0.657794349259131
68	-0.59179434925913
69	-0.33179434925913
70	-0.105794349259131
71	-0.0467943492591305
72	0.00220565074086954
73	0.25920565074087
74	0.57120565074087
75	0.70020565074087
76	0.86720565074087
77	1.01220565074087
78	1.11020565074087
79	1.29520565074087
80	1.47520565074087
81	1.54620565074087
82	1.76220565074087
83	2.02920565074087
84	2.09720565074087
85	2.18520565074087
86	2.37520565074087
87	2.77620565074087
88	3.16920565074087
89	3.26820565074087
90	3.32120565074087
91	-3.94162332377098
92	-3.70962332377098
93	-3.34862332377098
94	-3.13662332377098
95	-2.89162332377098
96	-2.65962332377098
97	-2.63362332377098
98	-2.62162332377098
99	-2.56462332377098
100	-2.48362332377098
101	-2.43662332377098
102	-2.39662332377098
103	-2.08962332377098
104	-1.75962332377098
105	-1.68362332377098
106	-1.65562332377098
107	-1.55862332377098
108	-1.32962332377098
109	-1.18762332377098
110	-1.10062332377098
111	-0.998623323770975
112	-0.942623323770975
113	-0.902623323770975
114	-0.801623323770975
115	-0.629623323770975
116	-0.421623323770976
117	-0.139623323770975
118	0.0753766762290247
119	0.329376676229025
120	0.542376676229025
121	0.642376676229025
122	0.808376676229025
123	0.961376676229025
124	1.05337667622902
125	1.20337667622902
126	1.37237667622902
127	1.64337667622902
128	1.97837667622902
129	2.12237667622902
130	2.18337667622902
131	2.23937667622902
132	2.68037667622902
133	3.09437667622903
134	3.16037667622902
135	3.26637667622903
136	-3.08479434925913
137	-2.96179434925913
138	-2.74979434925913
139	-2.55979434925913
140	-2.34179434925913
141	-2.09779434925913
142	-1.96679434925913
143	-1.90379434925913
144	-1.87379434925913
145	-1.84079434925913
146	-1.80379434925913
147	-1.75179434925913
148	-1.68879434925913
149	-1.53079434925913
150	-1.35479434925913
151	-1.17279434925913
152	-1.04279434925913
153	-0.99079434925913
154	-0.933794349259131
155	-0.918794349259131
156	-0.786794349259131
157	-0.657794349259131
158	-0.59179434925913
159	-0.33179434925913
160	-0.105794349259131
161	-0.0467943492591305
162	0.00220565074086954
163	0.25920565074087
164	0.57120565074087
165	0.70020565074087
166	0.86720565074087
167	1.01220565074087
168	1.11020565074087
169	1.29520565074087
170	1.47520565074087
171	1.54620565074087
172	1.76220565074087
173	2.02920565074087
174	2.09720565074087
175	2.18520565074087
176	2.37520565074087
177	2.77620565074087
178	3.16920565074087
179	3.26820565074087
180	3.32120565074087
