colour	size	x	xend	y	yend	key	showSelected.variable	showSelected.value	showSelected2
#FF0000	4	6.553888	6.553888	1	-1	BIC 6553888	BIC.thresh	-5.579	1 1
#FF0000	4	8.524594	8.524594	1	-1	BIC 8524594	BIC.thresh	-5.579	1 1
#FF0000	4	9.294567	9.294567	1	-1	BIC 9294567	BIC.thresh	-5.579	1 1
#FF0000	4	16.769064	16.769064	1	-1	BIC 16769064	BIC.thresh	-5.579	1 1
#FF0000	4	18.269314	18.269314	1	-1	BIC 18269314	BIC.thresh	-5.579	1 1
#FF0000	4	40.34801	40.34801	1	-1	BIC 40348010	BIC.thresh	-5.579	1 1
#FF0000	4	57.807361	57.807361	1	-1	BIC 57807361	BIC.thresh	-5.579	1 1
#FF0000	4	58.343041	58.343041	1	-1	BIC 58343041	BIC.thresh	-5.579	1 1
#FF0000	4	114.952483	114.952483	1	-1	BIC 114952483	BIC.thresh	-5.579	1 1
#FF0000	4	115.117431	115.117431	1	-1	BIC 115117431	BIC.thresh	-5.579	1 1
#FF0000	4	185.435938	185.435938	1	-1	BIC 185435938	BIC.thresh	-5.579	1 1
#FF0000	4	186.187822	186.187822	1	-1	BIC 186187822	BIC.thresh	-5.579	1 1
#FF0000	4	200.833695	200.833695	1	-1	BIC 200833695	BIC.thresh	-5.579	1 1
#FF0000	4	205.462961	205.462961	1	-1	BIC 205462961	BIC.thresh	-5.579	1 1
#FF0000	4	212.280934	212.280934	1	-1	BIC 212280934	BIC.thresh	-5.579	1 1
#FF0000	4	226.652495	226.652495	1	-1	BIC 226652495	BIC.thresh	-5.579	1 1
#FF0000	4	230.587677	230.587677	1	-1	BIC 230587677	BIC.thresh	-5.579	1 1
#FF0000	4	234.068672	234.068672	1	-1	BIC 234068672	BIC.thresh	-5.579	1 1
#FF0000	4	248.53111	248.53111	1	-1	BIC 248531110	BIC.thresh	-5.579	1 1
#FF0000	4	20.418718	20.418718	1	-1	BIC 20418718	BIC.thresh	-5.579	1 2
#FF0000	4	25.075439	25.075439	1	-1	BIC 25075439	BIC.thresh	-5.579	1 2
#FF0000	4	25.368828	25.368828	1	-1	BIC 25368828	BIC.thresh	-5.579	1 2
#FF0000	4	32.20514	32.20514	1	-1	BIC 32205140	BIC.thresh	-5.579	1 2
#FF0000	4	37.142647	37.142647	1	-1	BIC 37142647	BIC.thresh	-5.579	1 2
#FF0000	4	37.616177	37.616177	1	-1	BIC 37616177	BIC.thresh	-5.579	1 2
#FF0000	4	62.979381	62.979381	1	-1	BIC 62979381	BIC.thresh	-5.579	1 2
