xmin	xmax	clickSelects.variable	clickSelects.value	showSelected1	group
-5.9870054495402	-5.53309756185531	BIC.thresh	-5.579	BIC	1
-5.53309756185531	-5.16049517938561	BIC.thresh	-5.347	BIC	1
-5.16049517938561	-4.81167737988174	BIC.thresh	-4.986	BIC	1
-4.81167737988174	-4.73680617175392	BIC.thresh	-4.774	BIC	1
-4.73680617175392	-4.32202845913318	BIC.thresh	-4.529	BIC	1
-4.32202845913318	-4.27160991010392	BIC.thresh	-4.297	BIC	1
-4.27160991010392	-4.27092319684901	BIC.thresh	-4.271	BIC	1
-4.27092319684901	-4.24744888622482	BIC.thresh	-4.259	BIC	1
-4.24744888622482	-4.15659116968008	BIC.thresh	-4.202	BIC	1
-4.15659116968008	-4.08569569359347	BIC.thresh	-4.121	BIC	1
-4.08569569359347	-4.06291557270012	BIC.thresh	-4.074	BIC	1
-4.06291557270012	-4.0051342432282	BIC.thresh	-4.034	BIC	1
-4.0051342432282	-3.44802987046209	BIC.thresh	-3.727	BIC	1
-3.44802987046209	-3.34534711259052	BIC.thresh	-3.397	BIC	1
-3.34534711259052	-3.29630026242229	BIC.thresh	-3.321	BIC	1
-3.29630026242229	-3.29050561157024	BIC.thresh	-3.293	BIC	1
-3.29050561157024	-3.10163655779653	BIC.thresh	-3.196	BIC	1
-3.10163655779653	-2.83222554048435	BIC.thresh	-2.967	BIC	1
-2.83222554048435	-2.81739784484889	BIC.thresh	-2.825	BIC	1
-2.81739784484889	-2.65931744089429	BIC.thresh	-2.738	BIC	1
-2.65931744089429	-2.61192449867914	BIC.thresh	-2.636	BIC	1
-2.61192449867914	-2.54796131742997	BIC.thresh	-2.58	BIC	1
-2.54796131742997	-2.53186176603213	BIC.thresh	-2.54	BIC	1
-2.53186176603213	-2.3466940334702	BIC.thresh	-2.439	BIC	1
-2.3466940334702	-2.18741975410657	BIC.thresh	-2.267	BIC	1
-2.18741975410657	-1.93140434009328	BIC.thresh	-2.059	BIC	1
-1.93140434009328	-1.62254570035607	BIC.thresh	-1.777	BIC	1
-1.62254570035607	-1.50114867978514	BIC.thresh	-1.562	BIC	1
-1.50114867978514	-1.11493665529505	BIC.thresh	-1.308	BIC	1
-1.11493665529505	-1.07521397908185	BIC.thresh	-1.095	BIC	1
-1.07521397908185	-0.914355915548539	BIC.thresh	-0.995	BIC	1
-0.914355915548539	-0.744151404371668	BIC.thresh	-0.829	BIC	1
-0.744151404371668	-0.607129127375747	BIC.thresh	-0.676	BIC	1
-0.607129127375747	-0.560158756471819	BIC.thresh	-0.584	BIC	1
-0.560158756471819	-0.308518704805977	BIC.thresh	-0.434	BIC	1
-0.308518704805977	-0.220503015245964	BIC.thresh	-0.265	BIC	1
-0.220503015245964	0.232708995821737	BIC.thresh	0.006	BIC	1
0.232708995821737	0.449312646019592	BIC.thresh	0.341	BIC	1
0.449312646019592	0.521630062186789	BIC.thresh	0.485	BIC	1
0.521630062186789	0.569448731981074	BIC.thresh	0.546	BIC	1
0.569448731981074	0.635466787879397	BIC.thresh	0.602	BIC	1
0.635466787879397	1.45116129372819	BIC.thresh	1.043	BIC	1
1.45116129372819	1.46362028382674	BIC.thresh	1.457	BIC	1
1.46362028382674	1.58285553027415	BIC.thresh	1.523	BIC	1
1.58285553027415	2.89896807952735	BIC.thresh	1.629	BIC	1
-5.9870054495402	-3.86879375393078	learned.thresh	-3.915	learned	2
-3.86879375393078	-3.71454802402355	learned.thresh	-3.792	learned	2
-3.71454802402355	-3.4455053406258	learned.thresh	-3.58	learned	2
-3.4455053406258	-3.33358938112664	learned.thresh	-3.39	learned	2
-3.33358938112664	-3.00950741944297	learned.thresh	-3.172	learned	2
-3.00950741944297	-2.84629320404319	learned.thresh	-2.928	learned	2
-2.84629320404319	-2.74691619028106	learned.thresh	-2.797	learned	2
-2.74691619028106	-2.72089742386605	learned.thresh	-2.734	learned	2
-2.72089742386605	-2.68619710600357	learned.thresh	-2.704	learned	2
-2.68619710600357	-2.6558255899863	learned.thresh	-2.671	learned	2
-2.6558255899863	-2.61127220910946	learned.thresh	-2.634	learned	2
-2.61127220910946	-2.55278887089269	learned.thresh	-2.582	learned	2
-2.55278887089269	-2.48423457188811	learned.thresh	-2.519	learned	2
-2.48423457188811	-2.23730218808129	learned.thresh	-2.361	learned	2
-2.23730218808129	-2.13178679069326	learned.thresh	-2.185	learned	2
-2.13178679069326	-1.87468810443524	learned.thresh	-2.003	learned	2
-1.87468810443524	-1.87084752656264	learned.thresh	-1.873	learned	2
-1.87084752656264	-1.7703266991798	learned.thresh	-1.821	learned	2
-1.7703266991798	-1.75850750651845	learned.thresh	-1.764	learned	2
-1.75850750651845	-1.7393251890433	learned.thresh	-1.749	learned	2
-1.7393251890433	-1.49409250778043	learned.thresh	-1.617	learned	2
-1.49409250778043	-1.48219848147468	learned.thresh	-1.488	learned	2
-1.48219848147468	-1.36260389633275	learned.thresh	-1.422	learned	2
-1.36260389633275	-0.961410221592981	learned.thresh	-1.162	learned	2
-0.961410221592981	-0.909927124563525	learned.thresh	-0.936	learned	2
-0.909927124563525	-0.843081102112669	learned.thresh	-0.877	learned	2
-0.843081102112669	-0.813879672482319	learned.thresh	-0.828	learned	2
-0.813879672482319	-0.327263010639225	learned.thresh	-0.571	learned	2
-0.327263010639225	-0.190191423688502	learned.thresh	-0.259	learned	2
-0.190191423688502	-0.0693402592257638	learned.thresh	-0.13	learned	2
-0.0693402592257638	0.144074190116959	learned.thresh	0.037	learned	2
0.144074190116959	0.220380214227557	learned.thresh	0.182	learned	2
0.220380214227557	0.339363606288445	learned.thresh	0.28	learned	2
0.339363606288445	0.591003657954287	learned.thresh	0.465	learned	2
0.591003657954287	0.699582099568466	learned.thresh	0.645	learned	2
0.699582099568466	0.731437892749119	learned.thresh	0.716	learned	2
0.731437892749119	1.132231358582	learned.thresh	0.932	learned	2
1.132231358582	1.26585995694352	learned.thresh	1.199	learned	2
1.26585995694352	1.26729867290876	learned.thresh	1.267	learned	2
1.26729867290876	1.44263781336755	learned.thresh	1.355	learned	2
1.44263781336755	1.64660650349859	learned.thresh	1.545	learned	2
1.64660650349859	2.24537089272665	learned.thresh	1.946	learned	2
2.24537089272665	2.4316800761943	learned.thresh	2.339	learned	2
2.4316800761943	2.44506019184246	learned.thresh	2.438	learned	2
2.44506019184246	2.89896807952735	learned.thresh	2.491	learned	2
